place_id,id,name,lat,lng,rating,user_ratings_total,vicinity,types
ChIJR4I-M5AIAWARvQpJSJKj-8g,dabfed2c8047eea0cec0f3626eda1703881cafe8,Best food in kyoto,35.0084261,135.7638827,2.3,3,"78-1 Masuyacho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ__8CtpUIAWARZ0viyGUwDpE,d42cccd858a09a28422b88a184c87bd58f2aefaa,Japaness food cafe Miyako,35.0038615,135.7675101,0,0,"5 Otabimiyamotocho, Shimogyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJKa5zWIMIAWARbYiFdvVSllM,64841f7ee636b8e370436d15e16a2ddcd4b1fa64,KFC,35.007706,135.76925,3.3,119,"河原町六角上ル大黒町５９, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJbREAtp4JAWARIGrcx5UubPI,5acffb22cc580f7f0b9410e9084c8d74a3624e2f,Good food,35.003846,135.7646866,0,0,"四条通り 富小路西入立売東町20-1, Shimogyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ67Zx724JAWARN73w1EJmLD8,44e78959599bf54bcbad3b5b619b6f241b7a8908,Khaos Spice Diner,35.0077657,135.7671684,4.8,9,"406-21 Sakuranocho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJ15QdWI8JAWARWwaICzyW_6w,e39f2e63e764c1db566e84a6c1294bc42092b4e6,McDonald's Shinkyogoku,35.0064588,135.7671242,3.7,64,"491-1 Nakasujicho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJN9jaVpUIAWARkl6bnw6d_Ds,83e343de258561c98f57dd685b7f5eba46033a0d,McDonald's Shijo Ohashi,35.0036244,135.7706437,3.6,527,"Kyoto, Shimogyo Ward, 小橋東入ル 橋本町１０５－１ 四条通り","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJN4Yot5kIAWARynM2lhD8LXU,7620910e77a2b2d94e7d052d89ea727733442606,Shioriya｜Kyoto Japanese Traditional Food Restaurant,35.0012716,135.7602159,3.9,111,"Kyoto, Shimogyo Ward, 仏光寺通烏丸東入上柳町320","['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJreNkL4cIAWARF6iKf4Tnsbo,a229dfdb319be110108ef6e02006e1d180abf5c6,Shishin Samurai Restaurant,35.013089,135.757337,4.6,204,"230-1 Kamimyokakujicho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJSXKkDr4IAWARpsmmyaWDV8s,ce997f7a4b494b9855af242765c2298d274f5ec4,Beans,35.0008149,135.7666954,0,0,"528 Ebisunocho, Shimogyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJhTuJZ5UIAWARK3fH2Tctb5o,c939876d1e0ccd2d05f836b39a08a90668debff8,茶寮翠泉 京都祇園,35.0034787,135.7698557,4,9,"Kyoto, Shimogyo Ward, 河原町 東入真町 ６８ 番地 住友不動産 京都ビル FOOD HALL 7 F Shijo Dori","['meal_takeaway', 'cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJHakTigsJAWARfNBIIYHb2KY,5a4735254c27ad56e731bbf299e5bb4bcd47af43,Kyoto Obanzai(Traditional Japanese Food) Jibundoki Sanjo-ohasi branch,35.0088732,135.7711767,3.4,13,"Kyoto, Nakagyo Ward, 河原町東入中島町110 三条フォーラムビル 3F","['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
ChIJI-P4dpwIAWARI3GdTq76Et4,7d5141252acca6160a09df69668c43a3a5203861,Mos Burger,35.0036291,135.7680097,4.1,363,"29-2 Otabicho, Shimogyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJGcCz2ZAIAWARJGeWE-B4YXw,1b246ed1cf38a7e61923ff8348434ccdd098f4b1,KYOTO GOGYO 五行 Ramen,35.0053273,135.7637979,4,916,"Kyoto, Nakagyo Ward, 蛸薬師下る十文字町452番地 Yanagi Baba Dori","['restaurant', 'food', 'point_of_interest', 'establishment']"
ChIJn_K9LZcIAWAR4Tu9X1O2WTw,5bce3f0205e2af9d213d0c6bdfa7217db21ce841,Jiki Miyazawa,35.0043342,135.7634299,4.3,105,"553-1 Yaoyacho, Nakagyo Ward, Kyoto","['restaurant', 'food', 'point_of_interest', 'establishment']"
