index,a1,intercept,shape,scale,penalty,score
420,0.03,300,0.1,0.2,11073.29102,0.130156458
294,0.01,300,0.1,0.2,11125.72731,0.118421831
546,0.1,300,0.1,0.2,11150.00681,0.113369792
168,0.003,300,0.1,0.2,11182.67805,0.106926061
548,0.1,300,0.1,0.6,11195.20356,0.104558684
549,0.1,300,0.1,0.8,11227.52663,0.098700221
550,0.1,300,0.1,1,11229.31514,0.098386293
560,0.1,300,1,0.2,11236.58585,0.097120859
547,0.1,300,0.1,0.4,11271.64122,0.091255041
553,0.1,300,0.5,0.2,11275.92473,0.090564217
554,0.1,300,0.5,0.4,11374.32247,0.076118333
42,0.001,300,0.1,0.2,11439.69515,0.067875176
551,0.1,300,0.1,2,11491.23438,0.062039223
421,0.03,300,0.1,0.4,11501.23164,0.06096955
422,0.03,300,0.1,0.6,11574.66824,0.053682034
552,0.1,300,0.1,5,11603.44122,0.051081527
427,0.03,300,0.5,0.2,11656.95813,0.046590274
423,0.03,300,0.1,0.8,11667.46113,0.045758602
424,0.03,300,0.1,1,11707.03754,0.042762174
295,0.01,300,0.1,0.4,11709.84131,0.042557863
555,0.1,300,0.5,0.6,11714.71356,0.042205254
672,0.3,300,0.1,0.2,11834.51377,0.034434328
673,0.3,300,0.1,0.4,11880.17827,0.031881654
462,0.03,1000,0.1,0.2,11904.30303,0.030614032
463,0.03,1000,0.1,0.4,11921.55534,0.029740045
588,0.1,1000,0.1,0.2,12008.41046,0.025721099
676,0.3,300,0.1,1,12008.75558,0.025706319
675,0.3,300,0.1,0.8,12010.75593,0.025620828
434,0.03,300,1,0.2,12014.57436,0.025458464
589,0.1,1000,0.1,0.4,12015.59397,0.025415293
674,0.3,300,0.1,0.6,12021.00317,0.025187541
592,0.1,1000,0.1,1,12052.66731,0.023896628
840,1,1000,0.1,0.2,12054.92675,0.023807209
590,0.1,1000,0.1,0.6,12055.02764,0.023803225
336,0.01,1000,0.1,0.2,12070.00295,0.023219479
591,0.1,1000,0.1,0.8,12074.70162,0.023039436
84,0.001,1000,0.1,0.2,12080.64784,0.022813689
595,0.1,1000,0.5,0.2,12087.33671,0.02256252
567,0.1,300,2,0.2,12101.56418,0.022037881
677,0.3,300,0.1,2,12103.03238,0.021984475
686,0.3,300,1,0.2,12104.88161,0.021917402
679,0.3,300,0.5,0.2,12104.9937,0.021913343
841,1,1000,0.1,0.4,12109.47424,0.021751752
169,0.003,300,0.1,0.4,12110.28308,0.021722715
210,0.003,1000,0.1,0.2,12115.59163,0.021533145
175,0.003,300,0.5,0.2,12136.25173,0.020811744
680,0.3,300,0.5,0.4,12144.45695,0.020532319
44,0.001,300,0.1,0.6,12149.07119,0.020376916
296,0.01,300,0.1,0.6,12152.69846,0.020255621
170,0.003,300,0.1,0.6,12156.79226,0.020119635
43,0.001,300,0.1,0.4,12167.55452,0.019766691
297,0.01,300,0.1,0.8,12182.44059,0.019289189
298,0.01,300,0.1,1,12186.94757,0.019147018
49,0.001,300,0.5,0.2,12209.05699,0.018465352
171,0.003,300,0.1,0.8,12219.66366,0.018147423
842,1,1000,0.1,0.6,12238.37075,0.017600617
301,0.01,300,0.5,0.2,12239.19754,0.017576853
425,0.03,300,0.1,2,12256.69043,0.01708188
844,1,1000,0.1,1,12313.9802,0.015560766
847,1,1000,0.5,0.2,12349.40916,0.014691847
428,0.03,300,0.5,0.4,12391.54366,0.01372435
843,1,1000,0.1,0.8,12399.32864,0.013553036
