index,a1,intercept,shape,scale,penalty,score
0,0.001,100,0.1,0.2,13268.391709097772,0.003496506296627211
1,0.001,100,0.1,0.4,13269.290564659754,0.0034917723096341636
2,0.001,100,0.1,0.6,13310.19675091565,0.0032832994581821
3,0.001,100,0.1,0.8,13313.046169399477,0.003269273372965987
4,0.001,100,0.1,1,13309.56039080107,0.003286440523780593
5,0.001,100,0.1,2,13398.899689698648,0.0028748638635960875
6,0.001,100,0.1,5,13633.731232504268,0.0020309790036398927
7,0.001,100,0.5,0.2,13369.287417149606,0.003004933049160246
8,0.001,100,0.5,0.4,13942.035191535439,0.0012986033163499995
9,0.001,100,0.5,0.6,14186.946952470185,0.0009166870651926404
10,0.001,100,0.5,0.8,14516.758825148332,0.0005789042869728176
11,0.001,100,0.5,1,14756.702166036359,0.00041707461697932643
12,0.001,100,0.5,2,17473.21255630349,1.4208387728470317e-05
13,0.001,100,0.5,5,19710.29604937181,1.2768416803446084e-06
14,0.001,100,1,0.2,14026.430801808297,0.0011509501926262758
15,0.001,100,1,0.4,14316.312562082552,0.0007644983777123847
16,0.001,100,1,0.6,15428.149887674552,0.00017128645079245804
17,0.001,100,1,0.8,17143.698509638416,2.079263781437529e-05
18,0.001,100,1,1,17736.175869772567,1.0539020983711307e-05
19,0.001,100,1,2,19497.53931412346,1.5863678723367681e-06
20,0.001,100,1,5,20214.517724200028,7.704284488209583e-07
21,0.001,100,2,0.2,13893.86395104849,0.001391679279670224
22,0.001,100,2,0.4,16976.888895366315,2.528353946906892e-05
23,0.001,100,2,0.6,17649.85359691443,1.1619243508837043e-05
24,0.001,100,2,0.8,18876.330448059038,3.031437163744495e-06
25,0.001,100,2,1,19499.84255100677,1.5826245764765288e-06
26,0.001,100,2,2,20047.549624296684,9.094400097498827e-07
27,0.001,100,2,5,21150.44468198264,3.116089662160308e-07
28,0.001,100,5,0.2,16562.746124934554,4.143364109331935e-05
29,0.001,100,5,0.4,18911.448450396383,2.9208155695276144e-06
30,0.001,100,5,0.6,19716.280315795495,1.269113073768418e-06
31,0.001,100,5,0.8,19905.333393606357,1.048602480638769e-06
32,0.001,100,5,1,20078.161116060975,8.821070688870175e-07
33,0.001,100,5,2,21225.887016080214,2.901903968343132e-07
34,0.001,100,5,5,22276.16093699447,1.1045695407516858e-07
35,0.001,100,7,0.2,17250.79417728348,1.835769411127549e-05
36,0.001,100,7,0.4,19412.56535241896,1.7311766437549608e-06
37,0.001,100,7,0.6,19905.0636500494,1.0488867200517077e-06
38,0.001,100,7,0.8,20388.69399501,6.489509078791621e-07
39,0.001,100,7,1,20603.636735602337,5.261654364648156e-07
40,0.001,100,7,2,21393.548132136464,2.4793830584442957e-07
41,0.001,100,7,5,22250.83601020622,1.1299867227351094e-07
42,0.001,300,0.1,0.2,11439.695154929337,0.06787517610901272
43,0.001,300,0.1,0.4,12167.554518376735,0.019766691456202263
44,0.001,300,0.1,0.6,12149.07119132431,0.020376916269541842
45,0.001,300,0.1,0.8,12757.32431571619,0.007670224484537281
46,0.001,300,0.1,1,13216.571702486546,0.00378114795301987
47,0.001,300,0.1,2,13788.559890822275,0.0016203983921237257
48,0.001,300,0.1,5,14029.448882809918,0.001146008343482603
49,0.001,300,0.5,0.2,12209.056985315463,0.01846535171278908
50,0.001,300,0.5,0.4,13855.523202251245,0.0014707586156786532
51,0.001,300,0.5,0.6,13910.538779534007,0.0013586918612375
52,0.001,300,0.5,0.8,14312.079899671024,0.0007690329680649982
53,0.001,300,0.5,1,16021.395084560738,8.053661955317385e-05
54,0.001,300,0.5,2,17432.017300513708,1.4895223869058618e-05
55,0.001,300,0.5,5,18358.96482096501,5.2848930986091515e-06
56,0.001,300,1,0.2,13285.069632319186,0.003409755972507522
57,0.001,300,1,0.4,14146.923471483604,0.0009699736042891351
58,0.001,300,1,0.6,16218.28016800121,6.308179312228458e-05
59,0.001,300,1,0.8,16786.131767276343,3.169475813247418e-05
60,0.001,300,1,1,17097.7778440533,2.19384834392828e-05
61,0.001,300,1,2,17856.903691771124,9.201886523313263e-06
62,0.001,300,1,5,19495.390763250827,1.589868148877074e-06
