index,a1,intercept,shape,scale,penalty,score
420,0.03,300,0.1,0.2,11073.29102,0.130156458
294,0.01,300,0.1,0.2,11125.72731,0.118421831
168,0.003,300,0.1,0.2,11182.67805,0.106926061
42,0.001,300,0.1,0.2,11439.69515,0.067875176
421,0.03,300,0.1,0.4,11501.23164,0.06096955
422,0.03,300,0.1,0.6,11574.66824,0.053682034
427,0.03,300,0.5,0.2,11656.95813,0.046590274
423,0.03,300,0.1,0.8,11667.46113,0.045758602
424,0.03,300,0.1,1,11707.03754,0.042762174
295,0.01,300,0.1,0.4,11709.84131,0.042557863
434,0.03,300,1,0.2,12014.57436,0.025458464
336,0.01,1000,0.1,0.2,12070.00295,0.023219479
84,0.001,1000,0.1,0.2,12080.64784,0.022813689
169,0.003,300,0.1,0.4,12110.28308,0.021722715
210,0.003,1000,0.1,0.2,12115.59163,0.021533145
175,0.003,300,0.5,0.2,12136.25173,0.020811744
44,0.001,300,0.1,0.6,12149.07119,0.020376916
296,0.01,300,0.1,0.6,12152.69846,0.020255621
170,0.003,300,0.1,0.6,12156.79226,0.020119635
43,0.001,300,0.1,0.4,12167.55452,0.019766691
297,0.01,300,0.1,0.8,12182.44059,0.019289189
298,0.01,300,0.1,1,12186.94757,0.019147018
49,0.001,300,0.5,0.2,12209.05699,0.018465352
171,0.003,300,0.1,0.8,12219.66366,0.018147423
301,0.01,300,0.5,0.2,12239.19754,0.017576853
425,0.03,300,0.1,2,12256.69043,0.01708188
428,0.03,300,0.5,0.4,12391.54366,0.01372435
45,0.001,300,0.1,0.8,12757.32432,0.007670224
337,0.01,1000,0.1,0.4,13016.80166,0.005127601
85,0.001,1000,0.1,0.4,13166.59143,0.004078804
172,0.003,300,0.1,1,13212.84189,0.003802553
46,0.001,300,0.1,1,13216.5717,0.003781148
308,0.01,300,1,0.2,13231.91288,0.003694429
126,0.003,100,0.1,0.2,13247.04118,0.003610957
211,0.003,1000,0.1,0.4,13247.77223,0.003606973
0,0.001,100,0.1,0.2,13268.39171,0.003496506
1,0.001,100,0.1,0.4,13269.29056,0.003491772
127,0.003,100,0.1,0.4,13271.86131,0.00347827
252,0.01,100,0.1,0.2,13279.38038,0.003439092
302,0.01,300,0.5,0.4,13284.27262,0.00341385
56,0.001,300,1,0.2,13285.06963,0.003409756
128,0.003,100,0.1,0.6,13293.42921,0.003367127
378,0.03,100,0.1,0.2,13293.85533,0.003364969
253,0.01,100,0.1,0.4,13301.28098,0.003327596
379,0.03,100,0.1,0.4,13302.94688,0.003319272
299,0.01,300,0.1,2,13306.3206,0.003302481
4,0.001,100,0.1,1,13309.56039,0.003286441
2,0.001,100,0.1,0.6,13310.19675,0.003283299
3,0.001,100,0.1,0.8,13313.04617,0.003269273
254,0.01,100,0.1,0.6,13314.74275,0.003260952
130,0.003,100,0.1,1,13326.06179,0.003206
381,0.03,100,0.1,0.8,13329.39476,0.003190005
129,0.003,100,0.1,0.8,13333.88549,0.003168587
255,0.01,100,0.1,0.8,13339.23974,0.003143246
380,0.03,100,0.1,0.6,13341.30191,0.003133544
257,0.01,100,0.1,2,13344.17609,0.003120073
131,0.003,100,0.1,2,13349.68274,0.003094433
256,0.01,100,0.1,1,13354.94322,0.003070146
382,0.03,100,0.1,1,13363.07042,0.003033017
133,0.003,100,0.5,0.2,13368.46225,0.003008645
7,0.001,100,0.5,0.2,13369.28742,0.003004933
182,0.003,300,1,0.2,13372.71722,0.002989557
