index,a1,intercept,shape,scale,penalty,score
0,0.046255173046982914,293.31051912768504,0.1,0.2,223.05747352432314,1.0756337572246524e+33
1,0.032039585044148645,255.53333216657217,0.1,0.4,225.07608665077575,8.982823960218068e+32
2,0.028847966499147462,310.4131277769402,0.1,0.6,230.67108321944283,5.4971412824580145e+32
3,0.03429264518103608,267.659184602709,0.1,0.8,225.53567247208818,8.623729773767884e+32
4,0.034443483562335925,326.0984057816501,0.1,1,231.5900248675679,5.0769514779384206e+32
5,0.0243342523844873,307.958110498892,0.1,2,244.33562502808977,1.7388580638923477e+32
6,0.041107444717661826,257.4153281664986,0.1,5,242.66281838398538,1.994964871293486e+32
7,0.023166671831589575,287.66356812244,0.5,0.2,229.35362224261075,6.164359110256079e+32
8,0.036687106340258464,299.2500866170562,0.5,0.4,233.33101114316045,4.370697389490096e+32
9,0.026743912250183362,340.8003723085021,0.5,0.6,251.37105357177776,9.855863769860235e+31
10,0.029926466243569032,308.08564822100993,0.5,0.8,252.65951230890798,8.89788789354896e+31
11,0.03287327664114768,275.7027884190531,0.5,1,256.97793509444074,6.339912998957711e+31
12,0.036291092717073585,322.994469879323,0.5,2,282.7639317583346,9.365258393854991e+30
13,0.027264341212715298,296.244150121475,0.5,5,291.50100046757,5.095643155026628e+30
14,0.041143290603203556,322.49438641223475,1,0.2,229.9926592168193,5.830697449908674e+32
15,0.040855048778751527,316.686948828488,1,0.4,251.24670631269163,9.95388129516712e+31
16,0.03326743347514638,324.8714825480423,1,0.6,264.11247286087877,3.666247417950209e+31
17,0.03153410585849443,320.4309882223492,1,0.8,276.77236035002915,1.4372941250679077e+31
18,0.019485881994330316,302.8451422786805,1,1,278.6191091294278,1.2582936788471602e+31
19,0.025599335914956483,278.00681511496407,1,2,285.5701186138638,7.686785486073275e+30
20,0.01833428022793681,269.9328191568392,1,5,297.3038556382466,3.4354938122299683e+30
21,0.016480861963531872,281.339441899041,2,0.2,250.28759377272164,1.0745176123160262e+32
22,0.021797619077479777,322.84484199968165,2,0.4,274.1469262803171,1.7391313376057642e+31
23,0.027176838480049214,263.84637755701135,2,0.6,278.2547030513378,1.2916645190078192e+31
24,0.029478031429457607,321.8381053632225,2,0.8,284.2889602852658,8.410079407419585e+30
25,0.02376413244999622,308.54304342164545,2,1,285.9888212090006,7.464811520300082e+30
26,0.021334485072200187,244.5304409837934,2,2,294.62360624890727,4.117647629841796e+30
27,0.03254438114958859,328.3270925435837,2,5,309.4734432289768,1.5400409220331053e+30
28,0.03579134221465686,282.0099927499313,5,0.2,266.0657745218792,3.16387815586066e+31
29,0.028847595665461044,266.32522823051386,5,0.4,282.41606768594875,9.598690007336953e+30
30,0.034287177401422085,246.01756705636186,5,0.6,285.5169529284337,7.715463080054686e+30
31,0.029877479637277483,306.30588152027985,5,0.8,291.5212675202729,5.088562677504406e+30
32,0.025844928721991997,303.24725060284015,5,1,298.00568069038763,3.2772467645162417e+30
33,0.028338401623912206,279.57226140700175,5,2,308.3690878675213,1.6541819461104776e+30
34,0.031268295938920394,330.5811298390564,5,5,316.3781932566206,9.90533500232053e+29
35,0.018500574761329942,216.82601537980497,7,0.2,275.109146445436,1.6214345059478537e+31
36,0.03181962730174978,277.0328729694236,7,0.4,284.0114647044955,8.575956475963288e+30
37,0.03272457347453957,337.341335887088,7,0.6,292.3244378114463,4.816122638402265e+30
38,0.03145411902516369,294.45168997286015,7,0.8,295.48414947718965,3.8843308708664446e+30
39,0.02346816301465271,273.4551387093396,7,1,295.71672069942366,3.823687309483122e+30
40,0.028324292055269037,278.4339578750842,7,2,310.4292196417387,1.4479319011359457e+30
41,0.02957508663750763,339.989895286435,7,5,315.3337727708093,1.0582548365614519e+30
